index,recordDate,recordTime,recordEpoch,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,postmile,alignment,milepost,inService,imageDescription,streamingVideoURL,currentImageUpdateFrequency,currentImageURL,referenceImageUpdateFrequency,referenceImage1UpdateAgoURL,referenceImage2UpdatesAgoURL,referenceImage3UpdatesAgoURL,referenceImage4UpdatesAgoURL,referenceImage5UpdatesAgoURL,referenceImage6UpdatesAgoURL,referenceImage7UpdatesAgoURL,referenceImage8UpdatesAgoURL,referenceImage9UpdatesAgoURL,referenceImage10UpdatesAgoURL,referenceImage11UpdatesAgoURL,referenceImage12UpdatesAgoURL
1,2025-11-06,18:32:31,1762482751,3,"Hwy 5 at Pocket",Sacramento,-121.510528,38.481128,22,Median,Sacramento,I-5,,,16.13,,511.43,true,,https://wzmedia.dot.ca.gov/D3/5_Pocket_Rd_OC_SAC5_SB.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/hwy5atpocket.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-12.jpg
2,2025-11-20,14:47:21,1763678841,3,"Hwy 5 at Florin",Sacramento,-121.51647,38.495353,22,Median,Sacramento,I-5,,,17.17,,512.46,true,,https://wzmedia.dot.ca.gov/D3/5_Florin_Rd_SAC5_MD.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/hwy5atflorin.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-12.jpg
3,2025-08-15,09:56:39,1755276999,3,"Hwy 5 at Gloria",Sacramento,-121.522427,38.509961,26,South,Sacramento,I-5,,,18.24,,513.53,true,,https://wzmedia.dot.ca.gov/D3/5_Gloria_Dr_SAC5_SB.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/hwy5atgloria.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-12.jpg
4,2024-04-22,09:45:24,1713804324,3,"Hwy 5 at 43rd Ave",Sacramento,-121.52178,38.516437,22,North,Sacramento,I-5,,,18.68,,513.76,true,,https://wzmedia.dot.ca.gov/D3/5_43rd_Ave_SAC5_NB.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/hwy5at43rdave.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-12.jpg
5,2023-12-17,23:50:07,1702885807,3,"Hwy 5 at Seamas",Sacramento,-121.521413,38.526032,22,South,Sacramento,I-5,,,19.33,,514.62,true,,https://wzmedia.dot.ca.gov/D3/5_Seamas_Ave_JNO_SAC5_SB.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/hwy5atseamas.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-12.jpg
7,2026-01-06,11:52:37,1767729157,3,"Hwy 5 at Sutterville",Sacramento,-121.510692,38.540832,32,Median,Sacramento,I-5,,,20.54,,515.84,true,,https://wzmedia.dot.ca.gov/D3/5_Sutterville_Rd_SAC5_MD.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/hwy5atsutterville.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-12.jpg
11,2024-01-04,12:25:18,1704399918,3,"Hwy 5 at Hwy 50",Sacramento,-121.509993,38.568818,3,North,Sacramento,I-5,,,22.62,,517.92,true,,https://wzmedia.dot.ca.gov/D3/5_JCT50_SAC5_NB.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/hwy5athwy50.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-12.jpg
12,2025-12-10,06:31:16,1765377076,3,"Hwy 5 at P St",Sacramento,-121.507587,38.577828,13,South,Sacramento,I-5,,,23.25,,518.54,true,,https://wzmedia.dot.ca.gov/D3/5_P_St_SAC5_SB.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/hwy5atpst.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpst/previous/hwy5atpst-12.jpg
14,2025-09-30,14:40:31,1759268431,3,"Hwy 5 at Richards",Sacramento,-121.503231,38.597687,29,North,Sacramento,I-5,,,24.53,,519.83,true,,https://wzmedia.dot.ca.gov/D3/5_Richards_Blvd_SAC5_NB.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/hwy5atrichards.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atrichards/previous/hwy5atrichards-12.jpg
16,2026-03-06,22:41:33,1772865693,3,"Hwy 5 at Hwy 80",Sacramento,-121.517136,38.624972,16,Median,Sacramento,I-5,,,26.72,,522.02,true,,https://wzmedia.dot.ca.gov/D3/80_JCT5_OC_SAC80_MD.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/hwy5athwy80.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy80/previous/hwy5athwy80-12.jpg
